0	100	0.3000	-10050	0:0:100:0:0:0	0.0000	0.3001	10.0000	0.0000	1.0000	0.0000	38.8728	1
1	100	0.3000	-10050	10:0:90:0:0:0	0.1685	0.3434	11.0517	0.0000	0.9048	6.7614	39.1505	1
2	100	0.3000	-10050	20:0:80:0:0:0	0.4642	0.3718	12.2018	0.0000	0.8196	13.7114	42.6439	1
3	100	0.3000	-10050	30:0:70:0:0:0	0.7096	0.3864	13.3636	0.0000	0.7483	19.1917	45.2046	1	2
4	100	0.3000	-10050	40:0:60:0:0:0	1.0629	0.3606	13.5312	0.0000	0.7390	24.1744	44.9863	2
5	100	0.3000	-10050	50:0:50:0:0:0	1.1241	0.3767	14.4053	0.0000	0.6942	27.4622	46.5314	2
6	100	0.3000	-10050	60:0:40:0:0:0	1.3248	0.3780	15.4459	0.0000	0.6474	30.7155	51.0066	2
7	100	0.3000	-10050	70:0:30:0:0:0	1.4353	0.3947	16.6846	0.0000	0.5994	32.5903	49.8261	2
8	100	0.3000	-10050	80:0:20:0:0:0	1.5827	0.3932	17.8023	0.0000	0.5617	33.8362	52.0984	2
9	100	0.3000	-10050	90:0:10:0:0:0	1.7307	0.3871	18.8065	0.0000	0.5317	37.1151	53.5045	2
10	100	0.3000	-10050	100:0:0:0:0:0	1.8702	0.3729	20.0000	0.0000	0.5000	39.1253	54.4379	2
0	100	0.3000	1.3	0:0:100:0:0:0	0.0000	0.3029	10.0000	0.0000	1.0000	0.0000	42.2793	1
1	100	0.3000	1.3	10:0:90:0:0:0	0.1979	0.3492	11.0464	0.0000	0.9053	7.4659	45.0919	1
2	100	0.3000	1.3	20:0:80:0:0:0	0.5671	0.3581	11.8824	0.0000	0.8416	14.4439	49.0769	2	1
3	100	0.3000	1.3	30:0:70:0:0:0	0.8387	0.3730	12.7829	0.0000	0.7823	20.5572	48.2971	2
4	100	0.3000	1.3	40:0:60:0:0:0	1.0257	0.3702	13.6840	0.0000	0.7308	25.8281	51.4518	2
5	100	0.3000	1.3	50:0:50:0:0:0	1.1938	0.3909	14.6270	0.0000	0.6837	29.8252	51.9229	2
6	100	0.3000	1.3	60:0:40:0:0:0	1.2860	0.3983	15.8135	0.0000	0.6324	32.9220	53.5285	2
7	100	0.3000	1.3	70:0:30:0:0:0	1.4139	0.4011	16.4865	0.0000	0.6066	35.8921	56.5940	2
8	100	0.3000	1.3	80:0:20:0:0:0	1.6136	0.3899	17.8238	0.0000	0.5610	38.3996	59.7568	2
9	100	0.3000	1.3	90:0:10:0:0:0	1.7781	0.4079	18.9094	0.0000	0.5288	42.6256	59.5364	2
10	100	0.3000	1.3	100:0:0:0:0:0	1.7664	0.4045	20.0000	0.0000	0.5000	42.8419	61.7622	2
