0	0	0.0000	1.01	50:50:0:0:0:0	0.0000	0.0147	30.0000	281.0618	0.6667	0.0000	0.0000	0
1	3	0.0000	1.01	50:50:0:0:0:0	0.0517	0.0079	30.0000	265.4964	0.6667	0.0901	0.0901	0
2	6	0.0000	1.01	50:50:0:0:0:0	0.0721	0.0072	30.0000	276.6962	0.6667	0.2531	0.2531	0
3	9	0.0000	1.01	50:50:0:0:0:0	0.1389	0.0071	30.0000	276.9989	0.6667	0.4814	0.4814	0
4	12	0.0000	1.01	50:50:0:0:0:0	0.1857	0.0077	30.0000	283.3465	0.6667	0.4706	0.4706	0	2
5	15	0.0000	1.01	50:50:0:0:0:0	0.2405	0.0104	29.4982	298.7812	0.6679	0.9208	0.9208	2
6	18	0.0000	1.01	50:50:0:0:0:0	0.3016	0.0094	29.3667	290.8581	0.6682	0.9321	0.9321	2
7	21	0.0000	1.01	50:50:0:0:0:0	0.3395	0.0114	29.2756	305.1312	0.6686	1.1725	1.1725	2
8	24	0.0000	1.01	50:50:0:0:0:0	0.3702	0.0109	29.2277	301.4204	0.6686	1.4582	1.4582	2
9	27	0.0000	1.01	50:50:0:0:0:0	0.4171	0.0108	29.0950	306.3382	0.6690	1.4179	1.4179	2
10	30	0.0000	1.01	50:50:0:0:0:0	0.4805	0.0128	29.0623	303.1404	0.6692	1.7199	1.7199	2
