0	0	0.0000	1.01	50:50:0:0:0:0	0.0000	0.0131	169744.4815	212.9490	6480.6957	0.0000	0.0000	0
1	3	0.0000	1.01	50:50:0:0:0:0	0.0418	0.0085	169857.5092	205.4708	6476.3799	0.2187	0.2187	0
2	6	0.0000	1.01	50:50:0:0:0:0	0.1015	0.0058	167748.8044	205.0052	6557.8129	0.3224	0.3224	0	2
3	9	0.0000	1.01	50:50:0:0:0:0	0.1481	0.0212	167935.7646	204.2908	6550.5055	0.6091	0.6091	2
4	12	0.0000	1.01	50:50:0:0:0:0	0.1743	0.0069	167913.3804	207.8751	6551.3749	0.6036	0.6036	2
5	15	0.0000	1.01	50:50:0:0:0:0	0.2693	0.0053	170955.4970	207.6415	6434.7750	0.9367	0.9367	2
6	18	0.0000	1.01	50:50:0:0:0:0	0.3048	0.0085	168924.8748	206.9106	6512.1401	1.1416	1.1416	2
7	21	0.0000	1.01	50:50:0:0:0:0	0.3181	0.0166	166445.0241	205.3540	6609.1720	0.9521	0.9521	2
8	24	0.0000	1.01	50:50:0:0:0:0	0.3840	0.0094	166095.3835	209.6490	6623.0877	1.4404	1.4404	2
9	27	0.0000	1.01	50:50:0:0:0:0	0.4259	0.0070	165368.1529	222.2763	6652.2144	1.4634	1.4634	2
10	30	0.0000	1.01	50:50:0:0:0:0	0.4405	0.0115	166885.6428	209.1832	6591.7186	1.2993	1.2993	2
